노선명,역명,승차총승객수,하차총승객수,승하차총승객수
1호선,동대문,259005,264901,523906
1호선,동묘앞,176041,185287,361328
1호선,서울역,1014076,973305,1987381
1호선,시청,494934,507346,1002280
1호선,신설동,331684,329159,660843
1호선,제기동,375694,383744,759438
1호선,종각,918718,906271,1824989
1호선,종로3가,638721,601192,1239913
1호선,종로5가,529093,534404,1063497
1호선,청량리(서울시립대입구),471395,467474,938869
2호선,강남,2159423,2194818,4354241
2호선,강변(동서울터미널),763184,755860,1519044
2호선,건대입구,797964,882969,1680933
2호선,교대(법원.검찰청),831701,942569,1774270
2호선,구로디지털단지,1449758,1448933,2898691
2호선,구의(광진구청),554574,536839,1091413
2호선,낙성대(강감찬),647680,613521,1261201
2호선,당산,455723,530008,985731
2호선,대림(구로구청),580796,586613,1167409
2호선,도림천,31353,32271,63624
2호선,동대문역사문화공원(DDP),281634,313137,594771
2호선,뚝섬,468912,508868,977780
2호선,문래,498279,512294,1010573
2호선,방배,398211,410062,808273
2호선,봉천,571506,516943,1088449
2호선,사당,877940,973791,1851731
2호선,삼성(무역센터),1264321,1299112,2563433
2호선,상왕십리,326233,312145,638378
2호선,서울대입구(관악구청),1133536,1093730,2227266
2호선,서초,509174,501938,1011112
2호선,선릉,1367464,1226129,2593593
2호선,성수,765204,849783,1614987
2호선,시청,557489,553213,1110702
2호선,신답,36840,41483,78323
2호선,신당,317692,322054,639746
2호선,신대방,613625,583344,1196969
2호선,신도림,1167152,1146719,2313871
2호선,신림,1467326,1407891,2875217
2호선,신설동,74126,72386,146512
2호선,신정네거리,224498,230870,455368
2호선,신촌,787712,832804,1620516
2호선,아현,231242,217326,448568
2호선,양천구청,156890,163866,320756
2호선,역삼,1202804,1343780,2546584
2호선,영등포구청,534139,544255,1078394
2호선,왕십리(성동구청),379617,315915,695532
2호선,용답,59727,57821,117548
2호선,용두(동대문구청),51511,53407,104918
2호선,을지로3가,511856,513676,1025532
2호선,을지로4가,301117,298306,599423
2호선,을지로입구,927891,952357,1880248
2호선,이대,277107,285312,562419
2호선,잠실(송파구청),1535830,1536684,3072514
2호선,잠실나루,349439,336866,686305
2호선,잠실새내,485352,489083,974435
2호선,종합운동장,173135,184171,357306
2호선,충정로(경기대입구),238947,251636,490583
2호선,한양대,167197,181215,348412
2호선,합정,708285,752466,1460751
2호선,홍대입구,1169805,1265083,2434888
3호선,가락시장,217628,212164,429792
3호선,경복궁(정부서울청사),433569,430158,863727
3호선,경찰병원,182914,182300,365214
3호선,고속터미널,930014,920684,1850698
3호선,교대(법원.검찰청),346980,231762,578742
3호선,구파발,491905,461150,953055
3호선,금호,193177,177246,370423
3호선,남부터미널(예술의전당),687405,708493,1395898
3호선,녹번,341322,302111,643433
3호선,대청,234777,212478,447255
3호선,대치,251689,249457,501146
3호선,도곡,126897,128841,255738
3호선,독립문,162790,168455,331245
3호선,동대입구,164254,171884,336138
3호선,매봉,281073,268048,549121
3호선,무악재,90745,90760,181505
3호선,불광,375378,397681,773059
3호선,수서,390527,395872,786399
3호선,신사,699133,763026,1462159
3호선,안국,463736,481075,944811
3호선,압구정,735124,796515,1531639
3호선,약수,306833,301561,608394
3호선,양재(서초구청),912575,988849,1901424
3호선,연신내,885303,828786,1714089
3호선,오금,149715,132608,282323
3호선,옥수,216425,223123,439548
3호선,을지로3가,254576,272461,527037
3호선,일원,228167,221920,450087
3호선,잠원,136427,131740,268167
3호선,종로3가,238806,286329,525135
3호선,지축,79317,75758,155075
3호선,충무로,23,0,23
3호선,학여울,47209,48726,95935
3호선,홍제,403176,378679,781855
4호선,길음,473468,450551,924019
4호선,남태령,27203,23753,50956
4호선,노원,449842,512665,962507
4호선,당고개,290824,263295,554119
4호선,동대문,501423,508638,1010061
4호선,동대문역사문화공원(DDP),345904,323124,669028
4호선,동작(현충원),59251,61770,121021
4호선,명동,404515,430273,834788
4호선,미아(서울사이버대학),359760,340674,700434
4호선,미아사거리,658277,637827,1296104
4호선,사당,586041,500957,1086998
4호선,삼각지,109082,120311,229393
4호선,상계,456143,414363,870506
4호선,서울역,269987,383624,653611
4호선,성신여대입구(돈암),463474,446710,910184
4호선,수유(강북구청),793349,784426,1577775
4호선,숙대입구(갈월),302790,295845,598635
4호선,신용산,368164,388230,756394
4호선,쌍문,700551,624926,1325477
4호선,이촌(국립중앙박물관),162087,185855,347942
4호선,창동,625372,661492,1286864
4호선,총신대입구(이수),452111,494854,946965
4호선,충무로,614873,643612,1258485
4호선,한성대입구(삼선교),313511,304481,617992
4호선,혜화,714935,730550,1445485
4호선,회현(남대문시장),543080,576311,1119391
5호선,강동,493226,428327,921553
5호선,개롱,148757,152323,301080
5호선,개화산,119801,112564,232365
5호선,거여,181560,170414,351974
5호선,고덕,204406,203902,408308
5호선,공덕,335471,361560,697031
5호선,광나루(장신대),299724,269225,568949
5호선,광화문(세종문화회관),763810,808878,1572688
5호선,군자(능동),249217,274005,523222
5호선,굽은다리(강동구민회관앞),208591,196020,404611
5호선,길동,172299,180503,352802
5호선,김포공항,147142,142757,289899
5호선,까치산,675018,634690,1309708
5호선,답십리,371908,335318,707226
5호선,동대문역사문화공원(DDP),63498,73470,136968
5호선,둔촌동,186569,187336,373905
5호선,마곡,203458,193883,397341
5호선,마장,127637,119164,246801
5호선,마천,123031,121959,244990
5호선,마포,333783,345766,679549
5호선,명일,193994,199752,393746
5호선,목동,401790,437884,839674
5호선,발산,432495,447089,879584
5호선,방이,160439,166937,327376
5호선,방화,159460,150568,310028
5호선,상일동,451292,381201,832493
5호선,서대문,415099,425971,841070
5호선,송정,155702,143343,299045
5호선,신금호,146361,147761,294122
5호선,신길,85381,91899,177280
5호선,신정(은행정),326581,250462,577043
5호선,아차산(어린이대공원후문),324030,313207,637237
5호선,애오개,165383,165584,330967
5호선,양평,173157,171171,344328
5호선,여의나루,219226,221359,440585
5호선,여의도,612943,653607,1266550
5호선,영등포구청,95093,94806,189899
5호선,영등포시장,205349,210760,416109
5호선,오금,88582,86683,175265
5호선,오목교(목동운동장앞),518094,566115,1084209
5호선,올림픽공원(한국체대),97191,81004,178195
5호선,왕십리(성동구청),102943,115517,218460
5호선,우장산,338157,328746,666903
5호선,을지로4가,137240,141928,279168
5호선,장한평,418016,413471,831487
5호선,종로3가,298497,300216,598713
5호선,천호(풍납토성),404212,431331,835543
5호선,청구,92299,86108,178407
5호선,충정로(경기대입구),113344,115086,228430
5호선,행당,191231,167605,358836
5호선,화곡,659436,604633,1264069
6호선,고려대(종암),181087,173024,354111
6호선,공덕,433310,424002,857312
6호선,광흥창(서강),205587,198351,403938
6호선,구산,169728,129982,299710
6호선,녹사평(용산구청),104594,104326,208920
6호선,대흥(서강대앞),185205,191696,376901
6호선,독바위,64641,66850,131491
6호선,돌곶이,211467,196903,408370
6호선,동묘앞,176696,180210,356906
6호선,디지털미디어시티,315670,346658,662328
6호선,마포구청,322809,282648,605457
6호선,망원,319418,350061,669479
6호선,버티고개,52555,50147,102702
6호선,보문,169070,153981,323051
6호선,봉화산(서울의료원),213587,192601,406188
6호선,불광,104463,106629,211092
6호선,삼각지,128751,112509,241260
6호선,상수,184346,211335,395681
6호선,상월곡(한국과학기술연구원),142531,124068,266599
6호선,새절(신사),298141,276346,574487
6호선,석계,288884,293568,582452
6호선,신내,5,0,5
6호선,신당,179683,194536,374219
6호선,안암(고대병원앞),241345,242672,484017
6호선,약수,83020,83460,166480
6호선,역촌,88090,99534,187624
6호선,연신내,17,0,17
6호선,월곡(동덕여대),261858,253344,515202
6호선,월드컵경기장(성산),103679,109124,212803
6호선,응암,406678,393229,799907
6호선,이태원,195105,206650,401755
6호선,증산(명지대앞),231472,222609,454081
6호선,창신,83116,65839,148955
6호선,청구,88104,92592,180696
6호선,태릉입구,121970,136282,258252
6호선,한강진,165312,196837,362149
6호선,합정,295253,294945,590198
6호선,화랑대(서울여대입구),270600,205763,476363
6호선,효창공원앞,163082,143390,306472
7호선,가산디지털단지,1073727,1086805,2160532
7호선,강남구청,363668,410677,774345
7호선,건대입구,280362,299579,579941
7호선,고속터미널,349424,300929,650353
7호선,공릉(서울과학기술대),271255,270358,541613
7호선,광명사거리,535494,522954,1058448
7호선,군자(능동),333076,263357,596433
7호선,굴포천,197533,206143,403676
7호선,까치울,174713,166317,341030
7호선,남구로,365177,387850,753027
7호선,남성,261155,236209,497364
7호선,내방,334659,341668,676327
7호선,노원,457992,490851,948843
7호선,논현,468216,520183,988399
7호선,대림(구로구청),176777,176170,352947
7호선,도봉산,211858,240868,452726
7호선,뚝섬유원지,203139,195002,398141
7호선,마들,278460,260864,539324
7호선,먹골,234633,225126,459759
7호선,면목,356152,342859,699011
7호선,반포,142496,138161,280657
7호선,보라매,231970,231386,463356
7호선,부천시청,278226,272579,550805
7호선,부천종합운동장,103430,88094,191524
7호선,부평구청,270554,215927,486481
7호선,사가정,359944,358142,718086
7호선,삼산체육관,109312,96613,205925
7호선,상도,241177,229641,470818
7호선,상동,290892,302880,593772
7호선,상봉(시외버스터미널),387705,365634,753339
7호선,수락산,288896,285442,574338
7호선,숭실대입구(살피재),272061,269844,541905
7호선,신대방삼거리,380002,358715,738717
7호선,신중동,329878,329405,659283
7호선,신풍,254743,240412,495155
7호선,어린이대공원(세종대),256167,247574,503741
7호선,온수(성공회대입구),251781,232000,483781
7호선,용마산(용마폭포공원),138989,130089,269078
7호선,이수,360283,357976,718259
7호선,장승배기,231287,223453,454740
7호선,장암,55615,19917,75532
7호선,중계,334727,299832,634559
7호선,중곡,229581,209380,438961
7호선,중화,254877,246521,501398
7호선,천왕,239181,222049,461230
7호선,철산,517833,531923,1049756
7호선,청담,458266,520454,978720
7호선,춘의,215894,210959,426853
7호선,태릉입구,188326,176568,364894
7호선,하계,414176,384355,798531
7호선,학동,551798,596967,1148765
8호선,가락시장,180383,204343,384726
8호선,강동구청,242293,252307,494600
8호선,남한산성입구(성남법원.검찰청),311795,279477,591272
8호선,단대오거리,231649,217103,448752
8호선,모란,99598,76214,175812
8호선,몽촌토성(평화의문),122749,129885,252634
8호선,문정,493986,517029,1011015
8호선,복정,241676,207865,449541
8호선,산성,117553,115682,233235
8호선,석촌,171169,198981,370150
8호선,송파,208024,197983,406007
8호선,수진,114690,104505,219195
8호선,신흥,101604,108507,210111
8호선,암사,438456,380809,819265
8호선,잠실(송파구청),309758,361888,671646
8호선,장지,400206,379259,779465
8호선,천호(풍납토성),369831,427638,797469
9호선,가양,469985,453006,922991
9호선,개화,58184,42244,100428
9호선,고속터미널,268856,352490,621346
9호선,공항시장,64005,69092,133097
9호선,구반포,63933,67137,131070
9호선,국회의사당,386856,391040,777896
9호선,김포공항,167441,233346,400787
9호선,노들,104094,87575,191669
9호선,노량진,631356,628080,1259436
9호선,당산,424503,419269,843772
9호선,동작(현충원),39877,31647,71524
9호선,등촌,240012,235721,475733
9호선,마곡나루(서울식물원),239077,238424,477501
9호선,사평,72846,70324,143170
9호선,샛강,129115,137725,266840
9호선,선유도,182638,175550,358188
9호선,신논현,742237,766811,1509048
9호선,신목동,93417,83242,176659
9호선,신반포,66664,65749,132413
9호선,신방화,154923,149398,304321
9호선,양천향교,204063,208280,412343
9호선,여의도,565787,546867,1112654
9호선,염창,393655,380404,774059
9호선,증미,162938,161946,324884
9호선,흑석(중앙대입구),177278,185831,363109
9호선2~3단계,둔촌오륜,26829,22580,49409
9호선2~3단계,봉은사,377350,384676,762026
9호선2~3단계,삼성중앙,157897,164288,322185
9호선2~3단계,삼전,143236,139784,283020
9호선2~3단계,석촌,173191,149602,322793
9호선2~3단계,석촌고분,125895,123501,249396
9호선2~3단계,선정릉,215377,230066,445443
9호선2~3단계,송파나루,97671,105570,203241
9호선2~3단계,언주,226050,228893,454943
9호선2~3단계,올림픽공원(한국체대),123919,121646,245565
9호선2~3단계,종합운동장,96630,94991,191621
9호선2~3단계,중앙보훈병원,231258,205273,436531
9호선2~3단계,한성백제,53409,48261,101670
경강선,경기광주,162553,152469,315022
경강선,곤지암,46222,44967,91189
경강선,부발,38961,35216,74177
경강선,삼동,53934,48160,102094
경강선,세종대왕릉,6141,6041,12182
경강선,신둔도예촌,25609,23517,49126
경강선,여주,45807,45265,91072
경강선,이매,25443,21771,47214
경강선,이천,52485,55262,107747
경강선,초월,63990,60667,124657
경강선,판교,103328,102101,205429
경부선,가산디지털단지,416063,480706,896769
경부선,관악,167684,154492,322176
경부선,광명,70895,60676,131571
경부선,구로,415514,422733,838247
경부선,군포,167585,165112,332697
경부선,금정,586647,597476,1184123
경부선,금천구청,264648,258863,523511
경부선,남영,229529,239378,468907
경부선,노량진,205120,198708,403828
경부선,당정,142981,135641,278622
경부선,대방,308462,312513,620975
경부선,독산,382211,402175,784386
경부선,두정,101323,101515,202838
경부선,명학,208417,204667,413084
경부선,병점,306276,301558,607834
경부선,서동탄,37203,31411,68614
경부선,서울역,116200,32766,148966
경부선,서정리,135113,129962,265075
경부선,석수,236956,206917,443873
경부선,성균관대,322550,315431,637981
경부선,성환,73939,72142,146081
경부선,세류,69095,63889,132984
경부선,세마,57238,52736,109974
경부선,송탄,92236,85933,178169
경부선,수원,780541,835166,1615707
경부선,신길,217656,182025,399681
경부선,신도림,94557,96230,190787
경부선,안양,502418,501643,1004061
경부선,영등포,867344,912452,1779796
경부선,오산,200027,197133,397160
경부선,오산대,65725,59776,125501
경부선,용산,734794,756956,1491750
경부선,의왕,204781,202555,407336
경부선,지제,54448,50526,104974
경부선,직산,16264,16379,32643
경부선,진위,34670,30906,65576
경부선,천안,107319,110648,217967
경부선,평택,251504,245594,497098
경부선,화서,167231,162602,329833
경원선,가능,148017,140736,288753
경원선,광운대,187692,176377,364069
경원선,녹양,103904,97936,201840
경원선,녹천,108538,90645,199183
경원선,덕계,57672,51523,109195
경원선,덕정,128683,126061,254744
경원선,도봉,138834,132717,271551
경원선,도봉산,173237,106782,280019
경원선,동두천,45837,53599,99436
경원선,동두천중앙,72014,69514,141528
경원선,망월사,166051,168091,334142
경원선,방학,218121,215380,433501
경원선,보산,36127,32543,68670
경원선,서빙고,43528,39152,82680
경원선,석계,197406,225014,422420
경원선,소요산,68437,57963,126400
경원선,신이문,204045,184053,388098
경원선,양주,177846,163932,341778
경원선,옥수,1123,862,1985
경원선,왕십리(성동구청),324027,367592,691619
경원선,외대앞,172025,166830,338855
경원선,월계,143622,133106,276728
경원선,응봉,41958,34797,76755
경원선,의정부,398004,413665,811669
경원선,이촌(국립중앙박물관),89493,68763,158256
경원선,지행,147190,145693,292883
경원선,창동,12,0,12
경원선,청량리(서울시립대입구),321999,353090,675089
경원선,한남,98945,93940,192885
경원선,회룡,282409,275915,558324
경의선,가좌,122497,111527,234024
경의선,강매,69373,58265,127638
경의선,검암,1,0,1
경의선,계양,3,0,3
경의선,곡산,13191,13929,27120
경의선,공덕,76904,71470,148374
경의선,금릉,102841,101184,204025
경의선,금촌,146014,143218,289232
경의선,김포공항,1,0,1
경의선,능곡,84878,76154,161032
경의선,디지털미디어시티,54717,52214,106931
경의선,문산,119256,118319,237575
경의선,백마,157683,149231,306914
경의선,서강대,47956,46000,93956
경의선,서울역,97291,124775,222066
경의선,수색,55727,57825,113552
경의선,신촌,18818,24930,43748
경의선,야당,137241,131301,268542
경의선,운정,137128,128718,265846
경의선,월롱,53059,47862,100921
경의선,일산,214473,211505,425978
경의선,임진강,221,173,394
경의선,탄현,173287,166994,340281
경의선,파주,34419,25333,59752
경의선,풍산,123715,114281,237996
경의선,행신,180970,177772,358742
경의선,홍대입구,37399,42673,80072
경의선,화전,42458,38739,81197
경의선,효창공원앞,63483,73050,136533
경인선,간석,134980,127952,262932
경인선,개봉,497720,502778,1000498
경인선,구일,146477,149941,296418
경인선,도원,78391,79590,157981
경인선,도화,85663,77088,162751
경인선,동암,355219,355603,710822
경인선,동인천,323389,307274,630663
경인선,백운,167974,164810,332784
경인선,부개,195521,183393,378914
경인선,부천,754513,760685,1515198
경인선,부평,680770,738075,1418845
경인선,소사,213253,204064,417317
경인선,송내,655881,650898,1306779
경인선,역곡,624427,615566,1239993
경인선,오류동,269769,252293,522062
경인선,온수(성공회대입구),157627,153508,311135
경인선,인천,69654,52774,122428
경인선,제물포,238253,222699,460952
경인선,주안,444990,402912,847902
경인선,중동,210228,198164,408392
경춘선,가평,51810,54380,106190
경춘선,갈매,68863,58729,127592
경춘선,강촌,11946,11193,23139
경춘선,굴봉산,3416,3213,6629
경춘선,금곡,33619,31807,65426
경춘선,김유정,6442,7008,13450
경춘선,남춘천,53308,54967,108275
경춘선,대성리,16112,15300,31412
경춘선,마석,85676,83227,168903
경춘선,백양리,2848,2727,5575
경춘선,별내,59576,57524,117100
경춘선,사릉,79779,74348,154127
경춘선,상천,5832,5640,11472
경춘선,신내,34312,33978,68290
경춘선,천마산,35315,32655,67970
경춘선,청평,42628,42868,85496
경춘선,춘천,29367,26583,55950
경춘선,퇴계원,83341,75599,158940
경춘선,평내호평,134923,131381,266304
공항철도 1호선,검암,169020,162864,331884
공항철도 1호선,계양,214026,194461,408487
공항철도 1호선,공덕,48820,63153,111973
공항철도 1호선,공항화물청사,52727,57904,110631
공항철도 1호선,김포공항,223279,135827,359106
공항철도 1호선,디지털미디어시티,312389,279469,591858
공항철도 1호선,마곡나루(서울식물원),180428,163885,344313
공항철도 1호선,서울역,162948,150780,313728
공항철도 1호선,영종,64096,65089,129185
공항철도 1호선,운서,136109,134749,270858
공항철도 1호선,인천공항1터미널,80711,83327,164038
공항철도 1호선,인천공항2터미널,39791,37674,77465
공항철도 1호선,청라국제도시,150392,140653,291045
공항철도 1호선,홍대입구,192861,200511,393372
과천선,경마공원,27956,27924,55880
과천선,과천,116569,104225,220794
과천선,대공원,46442,49399,95841
과천선,범계,589061,580668,1169729
과천선,선바위,206832,175788,382620
과천선,인덕원,555352,568652,1124004
과천선,정부과천청사,212626,210279,422905
과천선,평촌,416416,412051,828467
분당선,가천대,166354,185972,352326
분당선,강남구청,221450,255313,476763
분당선,개포동,83884,87065,170949
분당선,구룡,38329,36977,75306
분당선,구성,113412,115186,228598
분당선,기흥,218514,204257,422771
분당선,대모산입구,80847,73496,154343
분당선,도곡,153833,155641,309474
분당선,망포,306041,287383,593424
분당선,매교,56694,56091,112785
분당선,매탄권선,101180,95673,196853
분당선,모란,461957,467020,928977
분당선,미금,364577,388426,753003
분당선,보정,58990,48891,107881
분당선,복정,10,0,10
분당선,상갈,123426,115607,239033
분당선,서울숲,215541,216893,432434
분당선,서현,576897,592503,1169400
분당선,선릉,313391,494327,807718
분당선,선정릉,187619,203550,391169
분당선,수내,294999,296857,591856
분당선,수서,319445,330090,649535
분당선,수원,176210,124751,300961
분당선,수원시청,249292,282195,531487
분당선,신갈,107127,103732,210859
분당선,압구정로데오,391008,454877,845885
분당선,야탑,588438,617554,1205992
분당선,영통,184865,190818,375683
분당선,오리,270928,230199,501127
분당선,이매,129784,119832,249616
분당선,정자,384930,414154,799084
분당선,죽전,302882,332253,635135
분당선,청명,96604,90415,187019
분당선,태평,306562,294408,600970
분당선,한티,312645,332867,645512
수인선,남동인더스파크,49693,54407,104100
수인선,달월,1838,1275,3113
수인선,소래포구,99148,91707,190855
수인선,송도,53994,49650,103644
수인선,숭의,80581,75455,156036
수인선,신포,37565,39151,76716
수인선,연수,96410,97944,194354
수인선,원인재,92660,94623,187283
수인선,월곶,49991,46594,96585
수인선,인천,20111,33854,53965
수인선,인천논현,121615,128026,249641
수인선,인하대,116052,108775,224827
수인선,호구포,76600,77399,153999
안산선,고잔,180749,175397,356146
안산선,대야미,114157,101377,215534
안산선,반월,100530,95073,195603
안산선,산본,375100,400033,775133
안산선,상록수,404982,394464,799446
안산선,수리산,98011,76619,174630
안산선,신길온천,35851,31975,67826
안산선,안산,258463,231242,489705
안산선,오이도,200456,192996,393452
안산선,정왕,159247,170604,329851
안산선,중앙,349999,370295,720294
안산선,초지,92205,91483,183688
안산선,한대앞,168092,165833,333925
우이신설선,4.19민주묘지,61880,59773,121653
우이신설선,가오리,90421,88214,178635
우이신설선,보문,33576,34047,67623
우이신설선,북한산보국문,129064,122160,251224
우이신설선,북한산우이,59168,54180,113348
우이신설선,삼양,44879,47619,92498
우이신설선,삼양사거리,54029,55009,109038
우이신설선,성신여대입구(돈암),69878,79081,148959
우이신설선,솔밭공원,53877,51887,105764
우이신설선,솔샘,130629,120063,250692
우이신설선,신설동,50497,49825,100322
우이신설선,정릉,99058,91826,190884
우이신설선,화계,74293,67913,142206
일산선,대곡,42938,32731,75669
일산선,대화,316265,239167,555432
일산선,마두,174825,180722,355547
일산선,백석,230030,230816,460846
일산선,삼송,409232,394121,803353
일산선,원당,255565,240303,495868
일산선,원흥,213137,198656,411793
일산선,정발산,162865,170169,333034
일산선,주엽,204099,207194,411293
일산선,지축,2,0,2
일산선,화정,395621,406669,802290
장항선,배방,20708,19868,40576
장항선,봉명,28063,26802,54865
장항선,신창(순천향대),32478,29895,62373
장항선,쌍용(나사렛대),40989,37956,78945
장항선,아산,57117,54608,111725
장항선,온양온천,75397,76470,151867
중앙선,구리,314583,315830,630413
중앙선,국수,17222,16611,33833
중앙선,덕소,134461,132674,267135
중앙선,도농,236199,209197,445396
중앙선,도심,60883,46715,107598
중앙선,망우,175943,169808,345751
중앙선,상봉(시외버스터미널),137107,133276,270383
중앙선,신원,4269,3874,8143
중앙선,아신,12400,12467,24867
중앙선,양수,50981,52340,103321
중앙선,양원,40811,41696,82507
중앙선,양정,19639,16910,36549
중앙선,양평,63467,65102,128569
중앙선,오빈,6768,6692,13460
중앙선,용문,45541,46877,92418
중앙선,운길산,17725,17237,34962
중앙선,원덕,8053,7861,15914
중앙선,중랑,126569,119745,246314
중앙선,지평,1308,1131,2439
중앙선,팔당,19727,19408,39135
중앙선,회기,545874,524105,1069979
